,account length,area code,international plan,voice mail plan,number vmail messages,total day calls,total eve calls,total night calls,total intl calls,customer service calls,churn,Princ_Comp_0,Princ_Comp_1,Princ_Comp_2,Princ_Comp_3
30,142,415,0,0,0,95,63,148,6,2,False,2.4660809403675423,1.7927544490367522,1.3871538220054862,-2.003418940100145
31,75,510,0,0,0,105,107,98,5,1,False,-1.2031684293811662,-0.014868852611382335,1.2679823439530444,-0.03035055002244187
32,172,408,0,0,0,121,115,78,10,3,False,-0.8367857720685062,4.735597339930349,2.585394156686263,-1.1946767014008692
33,12,408,0,0,0,118,119,90,3,1,True,-1.8130424161163736,-1.433421662762781,2.2188680974988197,-0.7949967373798157
34,57,408,0,1,25,94,75,116,4,0,False,0.07699411268852789,0.16600831973355734,0.35392010224196635,0.9829228260159442
35,72,415,0,1,37,80,102,71,6,3,False,-1.0445324527362465,-0.45504432108520537,-1.343224524742103,-2.2614284394383257
36,36,408,0,1,30,128,80,109,6,0,False,0.8694102204605675,1.0736754034880591,-2.00123124276983,-2.163854026097354
37,78,415,0,0,0,64,116,108,5,1,False,1.271537526528035,-0.632886366007161,0.7527638607490484,0.12070222531759914
38,136,415,1,1,33,106,99,107,6,3,False,-0.6262131252566511,0.3725610278704508,-2.772505249657177,-0.13730727402058115
39,149,408,0,0,0,94,92,108,9,1,False,1.0223942648172586,-1.9746586633895185,-0.3527185060061023,-0.4394128247006635
40,98,408,0,0,0,102,85,135,2,3,False,1.3887769221299189,0.9530085903891593,-0.3659252610695109,0.4228077759976815
41,135,408,1,1,41,85,107,78,15,0,True,0.17315333004261388,-0.08114946670339002,-2.1999539336844895,-2.207950077439256
42,34,510,0,0,0,82,98,78,4,2,False,1.4273475370288404,-2.265702750156323,3.094708450697437,0.12070222531759914
43,160,415,0,0,0,77,110,92,4,3,False,2.440112605284075,0.9952542797041151,-0.6264865972679203,0.5297644999958213
44,64,510,0,0,0,67,118,86,3,1,False,0.6693776627726116,-0.6917022088451193,1.8023117714132715,3.4091495421137705
45,59,408,0,1,28,97,92,116,5,2,False,1.5291586866711548,-0.33601811900120776,-1.0562496784168773,0.8759661020178052
46,65,415,0,0,0,120,122,118,5,3,False,-0.8185315599648232,1.0706402760650753,-1.8511404420755135,-1.4967822520809517
47,142,408,0,0,0,133,74,127,5,2,False,-0.18757739498181733,1.85157029187471,1.1561134317711883,1.4360811520360675
48,119,415,0,0,0,114,117,91,3,5,True,0.5367100212111594,-0.845509328990023,-1.6141958626483934,0.7249133266777638
49,97,415,0,1,24,135,58,79,3,1,False,1.2098245426897607,-0.4520091936622215,-3.642441413662972,-0.38593446270159404
50,52,408,0,0,0,108,96,87,5,3,False,-0.3145931042550406,-1.9188779479745441,1.0060226310768714,1.2315500146969571
51,60,408,0,0,0,57,115,129,3,1,False,-1.059960698695815,-0.28163191999431586,1.3475335568152618,1.7381867027161502
52,10,408,0,0,0,112,66,57,6,2,False,-0.1644350260424643,0.30021015893247466,2.292515121168215,-0.5904656000407049
53,96,415,0,0,0,117,67,68,5,2,False,0.5086794954361366,-1.8556324613055202,0.7718748050052788,0.47628613799675135
54,87,415,0,0,0,83,116,127,3,5,True,0.7472826680230141,-0.5213249351772133,0.08605620017297118,0.2717550006576405
55,81,408,0,0,0,67,85,98,3,1,False,0.11067657075177988,-1.3475357677247881,1.93919581704418,0.02312781197662801
56,141,415,0,0,0,98,62,128,2,1,False,1.37334867617035,0.5851839908533122,-1.6788312612876706,1.1339756013559856
57,121,408,0,1,30,129,77,77,3,3,True,-0.48376917002385916,3.50538647337794,-0.5514411969207615,2.2448233907353434
58,68,415,0,0,0,70,164,103,3,3,False,0.8041074950256191,-1.2691146439408436,-1.9880244877064217,-0.9460495127198567
59,125,408,0,0,0,103,126,95,8,1,False,-1.2859615914672389,0.6575348597912879,-0.3231975600419913,-0.8925711507207872
60,174,408,0,0,0,97,94,54,4,1,False,-0.3202450365432693,0.8671226953511658,-0.9575875212984296,-0.5904656000407049
61,116,415,0,1,34,83,142,106,3,2,False,-2.306440782702258,0.6348944514223183,-0.9679975230063097,-0.688040013381676
62,74,510,0,1,33,91,96,92,3,2,False,-0.36164161758630575,-1.25861474526381,-1.7583824741498881,-2.207950077439256
63,149,408,0,1,28,92,64,53,3,3,False,-0.024053261501227545,0.36813138403938456,1.8082159606060935,-1.1946767014008692
64,38,408,0,0,0,98,97,106,6,2,False,1.2617612128566955,1.061534893796123,-1.1726244031137913,1.0364011880150144
65,40,415,0,1,41,74,88,102,5,2,False,0.8223617071293025,0.8776225940281994,0.36852523398313886,2.0496745640534004
66,43,415,1,0,0,105,104,67,4,0,False,-1.8629168955917534,-0.32994786415523997,-1.2049421024334304,0.47628613799675135
67,113,408,1,0,0,93,119,139,8,0,False,1.4175712233575006,-0.1504652082183819,-2.00123124276983,0.9829228260159442
68,126,408,0,0,0,70,80,60,1,1,False,-0.826245682944607,-0.4445444224081719,-1.3241135804858724,1.2315500146969571
69,150,510,0,0,0,101,110,100,3,4,True,0.022995251830037335,0.8897631037201359,-1.4609976261167812,-1.8082701134182024
70,138,408,0,0,0,93,83,104,7,3,False,-1.6109476677368626,0.8505525418281639,2.6413286127771904,-0.7949967373798157
71,162,510,0,1,46,97,84,61,2,0,False,-1.1715481620094697,0.3559908743474488,1.503528546702401,-0.9460495127198567
72,147,510,0,0,0,83,85,109,4,3,False,-1.7870740810329062,1.4519999017009408,-0.7942899655407042,1.1339756013559856
73,90,415,0,0,0,146,117,105,4,1,False,-0.6136108454411969,-0.7173777446370726,-1.3550329031277475,1.4895595140351376
74,85,415,0,0,0,109,94,99,3,0,False,-1.455137657236058,1.221412268786995,-0.35411688268386643,-0.8925711507207872
75,50,415,0,0,0,90,72,111,2,1,False,0.5886466913780946,-0.6223864673301274,-0.5455370077279392,2.0937706153953024
76,82,415,0,0,0,109,100,73,4,0,True,-3.1297133823934344,0.5564733276383741,1.9346900045291222,-0.7415183753807458
77,144,408,0,0,0,117,85,99,7,4,True,3.069004579575525,3.4556760128089343,-0.7779757746400012,1.0364011880150144
78,46,415,0,0,0,72,104,113,3,2,False,-0.8915484083795555,1.0209298154960695,-0.6529001073947368,1.0364011880150144
79,70,408,0,0,0,98,102,76,2,1,False,0.24899614460146116,1.277192984201969,0.7763806175203369,-2.4124812147783667
80,144,415,0,0,0,99,74,119,2,1,False,-0.5539600522944774,-2.85968533877505,0.6467991377600147,-1.4967822520809517
81,116,415,1,0,0,104,79,109,5,3,False,-0.9252308664428075,-0.10682500249534449,2.1702362072784775,-1.1946767014008692
82,55,408,0,1,25,123,95,90,2,3,False,0.3682977308949001,1.809324602559754,-0.7029303742928427,-0.38593446270159404
83,70,415,0,1,24,101,98,68,4,1,False,-1.8109802254248184,-1.6369392434766907,0.6099756259253171,0.21827663865857064
84,106,510,0,0,0,96,85,88,1,2,True,-0.8002773478611394,-1.3445006403018032,-0.26586472727329963,-1.0971022880598982
85,128,510,0,1,29,104,86,78,7,0,False,0.012455162706138417,-0.694737336268103,3.4171084321795964,0.8318700506759037
86,94,408,0,0,0,105,101,84,5,4,True,0.5683302885828558,1.2816226280330347,-0.31589499417140554,1.1339756013559856
87,111,510,0,0,0,118,76,98,2,1,False,-0.8964365652152256,-0.20928105105633976,-0.5160160617638277,-0.8925711507207872
88,74,415,0,1,35,104,84,57,9,2,False,0.6665516966284973,2.163614175995583,0.03291849743757077,-0.33245610070252424
89,128,415,0,0,0,125,93,68,4,1,True,-1.5091365180945475,-1.300860434578766,0.22433862248164405,-1.8523661647601042
90,82,510,0,0,0,61,105,94,2,1,False,0.9318869797514016,0.16904344715654096,-2.5532732378085243,-0.4394128247006635
91,155,415,0,0,0,100,104,119,4,0,True,-0.6136108454411969,0.28060487798648875,-0.13628324751297674,0.6808172753358622
92,80,415,0,0,0,100,107,62,9,1,False,1.4407135922968537,0.7795961892982696,1.4621992223526452,1.1874539633550554
93,78,415,0,0,0,93,112,105,7,3,False,-1.8986615443465613,0.6304648075912522,1.7640898829008103,0.369329413998612
94,90,415,0,0,0,71,81,91,7,3,False,0.01734331954180862,0.2897102602554412,-2.0453573204751136,-0.18140332536248283
95,104,408,0,0,0,106,113,137,5,1,False,-2.5612359767012634,3.3455090983870686,-1.0548513017391135,0.21827663865857064
96,73,415,0,0,0,110,72,72,4,0,False,0.5107416861276921,-0.34348289025525763,-0.7501638878354205,-1.39920783873998
97,99,415,0,0,0,87,76,113,3,4,False,-0.47811723773563,-0.17614074401033636,-0.27907148233670787,0.7783916886768335
98,120,408,0,0,0,131,104,96,5,1,True,-0.8396117382126207,-0.23495658684829418,-0.9429823895572577,2.5028328900735244
99,77,415,0,0,0,72,126,109,7,2,True,-1.870631018571538,-0.13085992727239593,2.077478239352853,0.21827663865857064
100,98,510,0,1,21,114,83,92,8,4,False,0.48271116035266926,-1.4289920189317153,-1.137199267956858,2.955991216093648
101,108,415,0,0,0,137,76,102,5,0,False,0.0384234977896061,0.33335046597847867,-2.0071354319626526,-2.207950077439256
102,135,415,0,0,0,82,105,100,6,0,False,0.7290284559193312,2.285675505502565,-0.5837588962404006,-0.13730727402058115
103,95,408,0,0,0,99,106,102,9,1,False,1.1627760293584952,0.48412245870039855,1.2429672105039915,-1.1505806500589677
104,122,408,0,0,0,94,109,75,2,1,False,0.2405182461691177,0.7616315193671862,1.3357251784296167,-0.5369872380416351
105,95,408,0,0,0,65,98,115,4,4,False,-1.5147884503827764,0.38470153756238695,-0.3040866157857606,-0.7949967373798157
106,36,510,0,1,29,102,76,113,6,2,False,-2.6391409819516656,-0.03447413355736853,-0.3836378286479779,0.6273389133367924
107,93,510,0,1,21,131,115,86,3,1,False,1.607063691921558,1.0178946880730855,0.44947482352311946,0.21827663865857064
108,141,415,0,1,32,91,97,142,1,1,False,0.8097594273138482,1.9495966966046399,0.5172176579996918,0.06722386331852968
109,157,408,0,0,0,90,121,108,7,3,False,-1.2993276467352524,1.4807105649158785,1.1324966749998995,0.3252333626567104
110,120,408,0,0,0,100,83,86,8,1,False,0.3837259768544685,-3.241044964410916,-2.285409335739528,0.9829228260159442
111,103,415,0,0,0,117,94,91,2,2,False,-0.13564072481488224,-0.6223864673301274,0.6144814384403757,-1.1946767014008692
112,98,408,0,0,0,117,113,113,4,4,False,0.48759931718833877,0.28060487798648875,0.7513654840712843,-0.9460495127198567
113,125,408,0,0,0,108,90,114,7,1,False,1.3782368330060197,-0.1399653095413484,1.3121084216583283,-1.5502606140800215
114,63,415,0,0,0,125,59,88,3,1,False,3.1391954618461426,0.8745874666052156,0.2934798336359801,0.4228077759976815
115,36,510,1,1,42,89,122,126,6,0,True,-0.4423725889808232,-1.5043780152926756,-1.7510799082793016,-4.945664654874333
116,64,510,0,0,0,83,109,122,3,1,False,0.4462027361453026,1.3570086243939945,-4.008967472850414,-2.003418940100145
117,74,415,0,0,0,114,48,115,4,1,True,-2.667935283179248,-0.5273951900231816,-0.8634311766950404,0.4228077759976815
118,112,510,0,1,36,117,82,118,3,2,False,1.715825189091098,1.2123068865180426,-0.651501730716973,0.12070222531759914
119,97,408,0,0,0,125,111,81,5,2,False,-1.559010997569928,-0.3857285795702142,-1.6096900501333344,0.7783916886768335
120,46,408,0,0,0,92,77,116,7,1,False,-0.7897372587372405,-0.7339478981600753,-0.023015958653357153,-1.4526862007390504
121,41,408,0,1,22,102,86,123,3,0,False,-0.8838342853997716,1.6510878385837844,-1.6406093727752098,1.5430378760342074
122,121,510,0,0,0,103,117,103,4,3,False,-0.28373661233590325,0.4871575861233825,0.5585469823494478,0.21827663865857064
123,193,415,0,0,0,124,95,89,3,1,False,0.23074193249777766,1.9148157785437336,-2.4605152698828983,-0.688040013381676
124,130,510,0,0,0,119,98,117,5,2,False,0.6644895059369419,2.5314387755314303,0.7409554823634041,0.5297644999958213
125,85,408,0,0,0,52,104,106,3,1,False,-0.5616741752742622,-0.792763740998033,1.4430882780964147,-0.8925711507207872
126,162,415,0,0,0,108,87,82,3,4,True,2.832463597680202,1.2123068865180426,-1.287290068651175,0.573860551337723
127,61,510,0,1,27,124,103,129,6,4,True,-0.20094345024983065,1.5168859993848665,0.6954310279803565,1.942717840055261
128,92,408,0,0,0,90,123,86,4,2,False,2.287128560927384,0.2038243652174473,-0.7220413185490734,0.5297644999958213
129,131,408,0,1,36,115,117,102,4,3,False,-0.8936105990711105,1.0963158118570295,1.7845992038348044,0.369329413998612
130,90,415,0,0,0,92,114,123,2,3,False,0.8897266232558062,-0.4655442197622392,-1.5096295163371232,-0.33245610070252424
131,75,408,0,0,0,125,86,80,5,1,False,0.3500435187912166,1.192701605572057,1.560861379471093,2.0937706153953024
132,78,415,0,0,0,115,140,120,3,1,False,-1.3301841386543898,-0.8198337931980686,1.6918412359091788,0.369329413998612
133,82,408,0,0,0,96,102,60,1,4,False,-0.5328798740466798,-0.005763470342430435,0.14478740961942663,1.5871339273761091
134,163,408,0,0,0,109,128,80,10,1,False,-0.44726074581649305,-0.04497403223440205,0.1551974113273073,0.573860551337723
135,91,510,1,0,0,112,83,130,3,3,False,1.2954436709199475,0.7721314180442196,1.294395854079861,-0.4835088760425651
136,75,415,0,1,21,97,106,134,4,5,False,0.10296244777199533,-0.4611145759311733,1.0251335753331017,2.5028328900735244
137,91,510,0,0,0,106,113,129,3,3,False,-0.6058967224614128,-0.2545618677942798,-0.1480916258986212,-0.8925711507207872
138,127,510,0,1,36,117,76,71,8,1,False,-0.08859221148361701,2.0686228986886377,1.7463773153223434,-0.4835088760425651
139,113,415,0,1,23,101,60,59,5,2,False,-0.6550074264842334,1.3661140066629467,-1.1813253456621415,0.02312781197662801
140,110,510,0,0,0,115,84,112,3,1,False,0.8118216180054038,-2.1027902477424676,-0.20402608198954914,-1.0971022880598982
141,120,415,0,1,39,68,97,116,4,0,False,-0.5328798740466798,-0.5409302161231994,1.479911789931112,-0.13730727402058115
142,157,415,0,1,28,107,74,139,5,3,False,-0.33284731635872394,0.15247329363353898,-2.5487674252934656,1.7381867027161502
143,103,510,0,0,0,47,84,96,4,1,False,-1.7330752201744155,0.15247329363353898,-0.011207580267712692,-0.7415183753807458
144,117,408,1,0,0,86,87,132,7,2,True,0.32896334054341914,0.654499732368304,1.356234499363612,-1.9593228887582428
145,140,415,0,0,0,101,94,98,6,3,False,-1.3533265075937426,1.1399560175800671,-2.5296564810372346,-2.0568973020992147
146,127,408,0,0,0,91,78,110,3,1,False,0.8588701313366688,-0.0706495680263565,0.06974200927226845,-1.7547917514191327
147,83,408,1,0,0,87,126,105,4,1,False,-2.3822835972611043,-0.42797426888517,-2.2308732563263645,-0.7415183753807458
148,121,408,0,0,0,121,98,103,5,1,False,-0.04513343974902538,-0.4851495007082252,-1.0989773794443969,0.8759661020178052
149,145,408,0,1,43,97,95,86,4,2,False,-2.0236150629282292,1.0841753021650933,2.405782410027834,-0.4394128247006635
150,113,408,0,0,0,99,125,67,6,1,False,-0.36446758373042076,-0.5696408793381375,-0.8001941547335262,-0.18140332536248283
151,117,415,0,0,0,119,91,105,7,1,False,1.9986509088651265,-0.159570590487334,2.745894959088461,0.06722386331852968
152,65,408,0,0,0,116,117,86,6,1,False,-0.21071976392117067,1.2092717590950588,0.7395571056856404,1.3826027900369986
153,56,415,0,0,0,112,118,142,11,1,False,-1.200342463237052,-1.3248953593558177,-1.6892412629955516,1.6940906513742484
154,96,415,0,0,0,115,46,87,4,5,False,-2.093805945198847,1.5334561529078683,1.9200848727879496,-0.6439439620397744
155,151,408,0,0,0,116,138,101,4,0,False,0.027883408665707543,-2.541571199808209,1.820024338991738,0.21827663865857064
156,83,415,0,0,0,120,116,114,7,0,True,-4.093367746625848,-0.7369830255830587,-1.3123052021002282,-2.821543489456588
157,139,510,0,1,23,129,96,112,2,0,False,0.5760444115626404,-1.284290281055764,1.6300025906254292,-1.7547917514191327
158,6,510,0,0,0,117,72,79,2,1,False,-0.09913230060751593,-1.554088475861681,-0.6219807847528621,0.02312781197662801
159,115,510,0,1,24,124,129,114,4,1,False,0.9781717176301079,0.49019271354636645,-1.0076177881965351,0.3252333626567104
160,87,415,0,0,0,97,108,101,5,0,False,1.129093571295243,0.8022365976672399,-1.7715892292132962,1.5871339273761091
161,141,415,0,0,0,110,111,103,6,0,False,-0.969453413629958,-1.1304831609108605,1.472609224060526,-0.8925711507207872
162,141,510,0,1,36,99,116,105,5,3,False,-0.20094345024983065,-1.1274480334878763,0.8013957509693901,-0.13730727402058115
163,62,415,0,0,0,103,122,82,1,1,False,2.1004620585074414,1.82892988350574,1.0001184418840492,-0.9901455640617586
164,146,415,0,0,0,151,89,91,3,1,False,-0.6886898845474854,1.4611052839698928,-0.9429823895572577,2.0937706153953024
165,92,415,0,1,33,92,92,104,2,2,False,-1.6446301258001144,-0.3570179163552761,0.7777789941981008,-0.9460495127198567
166,185,510,0,1,31,126,133,126,3,1,False,-0.2605942433965506,1.051034995119089,1.7891050163498632,1.3826027900369986
167,148,415,0,0,0,102,128,90,3,1,False,-0.5771024212338309,-1.1771584940568818,1.6904428592314154,-0.33245610070252424
168,94,408,0,1,38,124,116,73,4,1,False,0.25105833529301635,0.21432426389448098,-2.6547321482824993,-1.3016334253990092
169,32,510,0,0,0,87,90,53,2,0,False,-1.3273581725102752,0.3786312827164187,-1.3109068254224643,1.9961962020543311
170,68,408,0,0,0,105,105,79,2,1,False,-1.4888201152993092,-0.6284567221760953,-2.894784163546914,-1.4967822520809517
171,64,408,0,1,27,91,98,86,5,2,False,-0.06056168570859415,0.8731929501971339,-1.0121236007115937,-0.18140332536248283
172,25,415,0,0,0,87,101,86,4,3,False,1.5705552677141916,-0.29377242968625195,1.9023723052094823,-0.13730727402058115
173,65,415,0,0,0,87,93,150,2,1,False,1.6350942176965806,0.6152891704763319,-0.5160160617638277,-1.9593228887582428
174,179,408,0,0,0,92,125,104,5,0,False,-1.0234522744884487,1.4384648756009224,1.2252546429255247,2.0937706153953024
175,94,415,0,0,0,104,125,106,7,2,False,-1.8909474213667767,0.8911576201282175,-0.8384160432459875,-0.4394128247006635
176,62,415,0,0,0,91,107,115,3,0,False,0.8483300422127698,0.295780515101409,-0.1599000042842662,-0.9901455640617586
177,127,415,0,0,0,103,86,113,3,2,False,-0.579928387377945,-0.792763740998033,-0.1599000042842662,-0.6439439620397744
178,116,408,0,0,0,93,76,112,10,3,False,0.16261324091871496,0.1916838555255112,0.1993234890325908,-3.016692316138531
179,70,408,0,0,0,122,112,112,0,3,False,-1.3589784398819715,-2.547641454654177,0.0079033639885181,5.187069105509532
180,94,510,1,1,23,125,136,103,5,4,False,-0.4500867119606071,-0.3766231973012617,2.2748025535897476,0.369329413998612
181,126,415,0,0,0,94,118,91,1,5,True,3.157449673949827,1.7369737336217783,-1.7907001734695267,-0.8390927887217174
182,67,408,0,1,36,111,94,103,12,2,False,1.6667144850682774,-1.023351373911978,-0.8648295533728042,0.174180587316669
183,19,408,0,0,0,98,57,127,7,2,False,-0.1644350260424643,-1.4878078617696737,0.3671268573053751,-2.207950077439256
184,170,510,1,0,0,68,122,121,3,3,False,-2.0804398899308336,-1.2285095656407896,-1.858443007946099,0.9294444640168746
185,73,415,0,0,0,145,135,92,13,1,False,-0.8964365652152256,-1.8827025135055564,1.126592485807077,-0.2883600493606226
186,106,408,0,0,0,74,139,103,4,1,False,0.5472501103350585,3.811360102652846,-0.06714203635864062,0.02312781197662801
187,93,415,0,0,0,71,108,121,3,2,False,-2.3843457879526606,-0.792763740998033,-3.4555271011339572,-0.33245610070252424
188,164,510,0,0,0,111,126,112,3,1,False,0.49813940631223763,1.0540701225420737,-0.3850362053257417,0.6273389133367924
189,51,408,0,0,0,109,95,107,3,1,False,-1.3666925628617559,0.3786312827164187,0.8469202053524375,0.573860551337723
190,107,415,0,0,0,85,94,115,4,0,False,1.1936325212776322,0.5716489647532944,-2.4796262141391288,0.6808172753358622
191,130,415,0,0,0,109,104,69,2,1,False,0.07493192199697243,3.075710903581151,1.0383403303965106,0.369329413998612
192,80,408,0,0,0,74,77,119,4,2,False,-0.7820231357574565,0.16461380332547568,0.2052276782254128,0.7249133266777638
193,94,415,0,0,0,118,88,131,2,0,False,1.0974733039235467,-0.06154418575740402,-1.42277573760432,-1.6037389760790914
194,118,408,0,1,23,52,111,88,4,1,False,-2.8497136287635203,0.9590788452351277,-2.2868077124172927,0.369329413998612
195,117,415,0,1,23,86,86,92,6,1,False,-0.4760550470440748,0.6680347584683219,-0.5705521411769924,1.7381867027161502
196,78,415,0,0,0,119,115,126,8,0,False,0.7809651260862663,0.5233330205923705,1.6963470484242376,0.2717550006576405
197,208,510,0,0,0,67,113,102,6,2,True,-3.8105420268518198,0.6876400394143077,-0.5351270060200588,-0.23488168736155274
198,131,510,1,1,26,101,97,127,7,4,True,-2.9373949476852634,0.03648221897252598,1.5226394909586316,-1.8082701134182024
199,63,408,0,0,0,64,106,89,3,0,False,2.513129453698807,0.6680347584683219,1.2547755888896361,-1.39920783873998
200,53,415,0,1,24,146,136,96,5,3,False,0.8848384664201365,-0.5439653435461829,1.3725486902643145,-1.4526862007390504
201,62,408,0,0,0,101,93,131,1,2,False,-0.06544984254426407,-3.548659204700723,1.2356646446334052,-0.4835088760425651
202,97,415,0,0,0,86,94,110,8,3,False,-0.9925957825693116,0.47362256002336445,1.1074815415508468,1.942717840055261
203,105,510,0,0,0,109,51,83,3,2,False,1.017506107981589,0.6243945527452843,0.44947482352311946,1.7381867027161502
204,157,415,0,0,0,105,80,93,4,1,False,0.7030601208358638,-1.576728884230651,-0.07895041474428507,0.4228077759976815
205,66,415,0,1,36,76,77,117,2,1,False,1.8976035346753706,-0.24545648552532767,-0.29227823740011605,-0.9460495127198567
206,122,415,0,0,0,98,72,84,8,2,False,-1.662884337903798,3.2656934581950425,-0.5896630854332225,-1.7547917514191327
207,38,415,0,0,0,94,95,90,5,3,False,-0.3798958296899889,0.398236563662405,0.6276881935037845,-0.2883600493606226
208,106,510,0,0,0,95,70,124,5,3,False,-0.8858964760913267,1.3691491340859308,1.6550177240744823,-0.9901455640617586
209,99,510,0,0,0,112,89,89,7,3,False,-0.9715156043215136,-1.2751848987868115,0.7041319705287066,-2.821543489456588
210,99,415,0,0,0,72,98,109,10,1,False,-1.5926934556331793,1.2650524745100329,-0.35411688268386643,-0.688040013381676
211,144,510,1,0,0,100,103,94,11,0,False,-0.6164368115853116,-1.300860434578766,-0.18491513773331847,-0.8390927887217174
212,82,415,0,1,24,131,106,68,3,1,False,0.6385211708534744,-1.21333392852587,-2.194049744491667,-0.23488168736155274
213,86,408,0,1,31,139,118,121,6,1,False,0.316361060727965,2.453017651747486,1.287093288209275,-0.9901455640617586
214,70,510,1,0,0,98,115,93,4,2,True,-1.2185966753407347,-0.7565883065290451,-3.5719018258308717,-3.7278601414968358
215,93,415,0,0,0,93,98,131,6,3,False,0.012455162706138417,0.6243945527452843,0.6791168370796539,-0.6439439620397744
216,93,415,0,0,0,89,76,120,3,0,False,0.7367425788991155,0.4073419459313568,-0.7942899655407042,-0.33245610070252424
217,120,415,0,0,0,80,82,91,7,3,False,-0.005799049397544698,-0.6480620031220807,1.803710148091035,2.804938440753607
218,136,415,0,0,0,121,118,114,2,1,True,-1.8284706620759426,-1.8434919516135848,-1.393254791640209,-1.39920783873998
219,106,415,0,0,0,121,98,107,12,0,False,-1.122437457986649,2.5344739029544145,-0.34091012762045814,1.5871339273761091
220,81,415,0,0,0,116,98,99,6,3,False,-0.09913230060751593,1.3495438531399446,0.3170965904072692,-0.9901455640617586
221,127,408,0,1,22,114,103,68,6,1,False,0.3577576417710012,0.738991110998216,1.231158832118347,0.02312781197662801
222,65,415,0,0,0,112,96,104,2,1,False,1.133981728130913,-2.00640445402744,0.5408344147709809,2.955991216093648
223,35,408,0,0,0,113,122,104,6,2,False,0.7915052152101648,-1.1500884418568458,-0.7442596986425981,0.6808172753358622
224,88,408,0,0,0,97,76,113,1,2,False,2.970019396077324,0.9137980284971877,0.9824058743055822,-1.8082701134182024
