,item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score
11,ITM10011,Groceries,20.0,66,3.0,7.0,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,2024-04-06,63.97,0.632
12,ITM10012,Automotive,418.0,13,,3.0,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,2024-10-27,,0.473
13,ITM10013,Apparel,56.0,84,14.0,5.0,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,2024-12-09,254.1,0.836
14,ITM10014,Pharma,160.0,58,14.0,4.0,41.22,9.31,,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,2024-10-13,,0.506
15,ITM10015,Apparel,,16,5.0,,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,2024-04-21,129.55,0.541
16,ITM10016,Pharma,155.0,20,9.0,7.0,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,2024-09-02,102.57,0.602
17,ITM10017,Automotive,408.0,63,8.0,7.0,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,2024-04-16,270.86,0.526
18,ITM10018,Electronics,207.0,96,10.0,8.0,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,,202.37,0.591
19,ITM10019,Pharma,147.0,54,7.0,6.0,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,2024-06-04,70.55,0.654
20,ITM10020,Apparel,220.0,32,4.0,8.0,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,2024-01-08,227.39,0.727
21,ITM10021,Automotive,146.0,37,11.0,3.0,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,2024-04-18,21.17,0.535
22,ITM10022,Pharma,,66,13.0,2.0,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,2024-04-07,124.96,0.419
23,ITM10023,Electronics,183.0,35,10.0,5.0,4.8,,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,2024-03-01,273.83,0.624
24,ITM10024,Electronics,54.0,34,8.0,3.0,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,2024-09-02,210.04,0.657
25,ITM10025,Groceries,213.0,63,12.0,9.0,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,2024-05-04,240.0,0.634
26,ITM10026,Groceries,210.0,38,9.0,2.0,3.28,8.62,0.93,L92,,51,3.64,,1.65,2,0.71,309,5.67,0.37,2024-12-22,280.08,0.487
27,ITM10027,Apparel,123.0,92,11.0,5.0,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,2024-11-05,234.62,0.47
28,ITM10028,Pharma,42.0,45,9.0,3.0,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,2024-12-26,35.69,0.624
29,ITM10029,Pharma,284.0,23,5.0,4.0,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,2024-04-14,76.89,0.591
30,ITM10030,Groceries,309.0,87,8.0,5.0,15.58,5.33,0.72,L54,D,65,1.55,,1.95,2,0.88,93,4.18,0.26,2024-07-22,155.0,0.449
31,ITM10031,Pharma,,44,13.0,,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,,0.36,2024-05-02,14.02,0.676
32,ITM10032,Pharma,481.0,39,,7.0,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,2024-10-09,191.13,0.58
33,ITM10033,Electronics,403.0,26,9.0,2.0,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,2024-06-13,200.6,0.565
34,ITM10034,Groceries,279.0,76,4.0,,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,2024-05-24,211.97,0.526
35,ITM10035,Automotive,433.0,89,5.0,4.0,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,2024-07-13,171.16,0.674
36,ITM10036,Groceries,498.0,39,6.0,8.0,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,2024-08-26,141.19,0.552
37,ITM10037,Automotive,377.0,54,12.0,5.0,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,2024-09-30,258.11,0.695
38,ITM10038,Electronics,94.0,88,8.0,9.0,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,2024-11-28,232.53,0.573
39,ITM10039,Apparel,374.0,98,3.0,5.0,21.72,6.87,0.82,L55,C,20,1.97,,1.02,8,0.89,864,4.4,0.25,2024-07-02,187.58,0.425
40,ITM10040,Pharma,91.0,60,11.0,5.0,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,2024-06-06,23.34,0.553
41,ITM10041,Electronics,278.0,56,7.0,,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,2024-05-13,211.24,0.56
42,ITM10042,Pharma,417.0,62,14.0,2.0,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,2024-07-03,171.87,0.434
43,ITM10043,Apparel,207.0,73,9.0,5.0,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,2024-09-19,,0.693
44,ITM10044,Apparel,480.0,47,11.0,2.0,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,2024-09-11,100.31,0.779
45,ITM10045,Electronics,192.0,73,11.0,3.0,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,2024-08-26,235.33,0.435
46,ITM10046,Apparel,499.0,96,3.0,7.0,40.81,4.51,0.31,L14,,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2024-02-20,131.2,0.697
47,ITM10047,Automotive,309.0,98,3.0,9.0,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4.0,0.8,2024-08-28,,0.724
48,ITM10048,Apparel,64.0,16,5.0,7.0,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,2024-06-12,40.16,0.403
49,ITM10049,Pharma,80.0,31,,2.0,15.21,9.85,0.28,L13,,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,2024-04-14,150.52,0.607
50,ITM10050,Pharma,102.0,90,4.0,2.0,31.06,2.28,0.81,L46,D,165,2.05,,0.32,7,0.75,92,12.95,0.25,2024-07-08,69.66,0.601
51,ITM10051,Pharma,142.0,91,12.0,7.0,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,2024-06-09,141.51,0.482
52,ITM10052,Pharma,377.0,50,14.0,5.0,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61
53,ITM10053,Automotive,35.0,83,,6.0,2.86,,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589
54,ITM10054,Groceries,85.0,19,3.0,6.0,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665
55,ITM10055,Electronics,443.0,66,3.0,4.0,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634
56,ITM10056,Pharma,164.0,16,,9.0,49.92,3.05,,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585
57,ITM10057,Apparel,394.0,59,6.0,,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737
58,ITM10058,Pharma,181.0,61,3.0,,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507
59,ITM10059,Apparel,253.0,42,6.0,7.0,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632
60,ITM10060,Apparel,399.0,10,5.0,4.0,37.24,8.92,0.89,L11,C,37,3.42,,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66
61,ITM10061,Pharma,,62,4.0,9.0,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553
62,ITM10062,Automotive,377.0,69,11.0,6.0,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696
63,ITM10063,Apparel,207.0,43,13.0,3.0,41.65,,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273
64,ITM10064,Apparel,341.0,13,3.0,5.0,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702
65,ITM10065,Pharma,469.0,26,9.0,5.0,43.8,3.81,0.54,L47,D,161,2.51,,0.83,9,0.76,751,7.97,0.83,,137.39,0.561
66,ITM10066,Apparel,493.0,13,6.0,3.0,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537
67,ITM10067,Apparel,32.0,52,7.0,3.0,1.39,7.19,,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,,0.638
68,ITM10068,Pharma,203.0,99,12.0,,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,,87.45,0.459
69,ITM10069,Pharma,130.0,13,7.0,6.0,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73
70,ITM10070,Electronics,434.0,10,3.0,4.0,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718
71,ITM10071,Automotive,309.0,80,8.0,3.0,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647
72,ITM10072,Automotive,314.0,59,,4.0,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687
73,ITM10073,Apparel,470.0,82,4.0,9.0,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,,0.79,2024-12-01,13.25,0.421
74,ITM10074,Automotive,411.0,70,9.0,8.0,16.55,0.82,0.5,L38,A,69,4.64,,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66
75,ITM10075,Apparel,234.0,44,8.0,2.0,31.51,4.27,0.42,L11,C,126,4.21,,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563
76,ITM10076,Electronics,481.0,17,7.0,5.0,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651
77,ITM10077,Pharma,139.0,33,6.0,6.0,38.7,,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657
78,ITM10078,Pharma,401.0,92,6.0,5.0,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72
79,ITM10079,Pharma,74.0,45,8.0,6.0,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503
80,ITM10080,Automotive,46.0,59,6.0,9.0,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567
81,ITM10081,Electronics,137.0,52,7.0,2.0,3.82,,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577
82,ITM10082,Automotive,240.0,36,8.0,5.0,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586
83,ITM10083,Automotive,250.0,41,7.0,2.0,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,,0.66,2024-03-27,166.46,0.503
84,ITM10084,Electronics,72.0,87,9.0,9.0,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494
85,ITM10085,Electronics,314.0,27,11.0,6.0,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394
86,ITM10086,Electronics,340.0,37,12.0,3.0,17.96,7.32,,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483
87,ITM10087,Electronics,420.0,38,9.0,8.0,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483
88,ITM10088,Pharma,252.0,25,,5.0,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689
89,ITM10089,Groceries,,56,,2.0,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521
90,ITM10090,Groceries,456.0,68,3.0,7.0,48.56,6.73,0.97,L88,B,177,1.36,,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546
91,ITM10091,Electronics,288.0,40,10.0,5.0,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653
92,ITM10092,Groceries,40.0,13,6.0,5.0,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,2024-01-18,206.64,0.453
93,ITM10093,Groceries,422.0,46,3.0,5.0,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2024-02-08,10.78,0.543
94,ITM10094,Electronics,72.0,26,7.0,4.0,29.98,,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,2024-12-08,19.26,0.626
95,ITM10095,Groceries,294.0,48,,2.0,32.02,6.56,0.43,L22,B,16,1.0,159.61,1.24,3,0.91,418,7.73,0.83,2024-01-25,251.79,0.667
96,ITM10096,Automotive,332.0,57,6.0,2.0,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,2024-01-04,83.26,0.698
97,ITM10097,Apparel,300.0,55,14.0,5.0,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,2024-07-30,33.56,0.506
98,ITM10098,Apparel,233.0,99,10.0,9.0,39.98,7.85,0.25,L32,B,104,4.44,,0.53,9,0.98,301,14.27,0.86,2024-03-11,125.85,0.725
99,ITM10099,Electronics,50.0,57,10.0,9.0,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,2024-11-18,24.78,0.392
100,ITM10100,Pharma,356.0,48,5.0,3.0,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,2024-04-28,227.62,0.526
101,ITM10101,Electronics,202.0,13,11.0,5.0,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1.0,475,12.42,0.67,2024-02-04,153.3,0.777
102,ITM10102,Pharma,42.0,39,5.0,4.0,22.29,9.1,,L35,D,154,1.55,,0.14,0,0.92,344,5.97,0.88,2024-12-28,170.06,0.826
103,ITM10103,Apparel,51.0,39,3.0,,17.98,2.02,0.17,L82,C,28,4.88,176.08,0.93,7,0.82,880,9.34,0.26,2024-03-18,228.37,0.508
104,ITM10104,Electronics,465.0,31,4.0,4.0,1.94,0.77,0.5,L89,D,104,3.07,108.42,1.61,8,0.98,691,13.1,0.28,2024-01-05,237.49,0.506
105,ITM10105,Automotive,93.0,84,8.0,9.0,41.44,9.13,0.19,L72,D,48,4.58,40.0,0.16,7,0.73,334,,0.43,2024-04-21,49.51,0.579
106,ITM10106,Groceries,29.0,75,14.0,3.0,7.99,8.31,0.64,L29,A,126,4.37,157.15,1.71,0,0.73,366,1.71,0.48,2024-09-15,91.28,0.494
107,ITM10107,Pharma,475.0,21,12.0,9.0,16.17,9.74,0.35,L88,D,45,2.0,49.61,0.83,5,0.9,561,13.65,0.87,2024-08-21,60.94,0.753
108,ITM10108,Groceries,73.0,45,4.0,,28.89,1.05,0.36,L42,A,24,2.91,88.37,0.32,8,0.75,78,8.24,0.97,2024-07-10,25.67,0.662
109,ITM10109,Groceries,71.0,27,8.0,9.0,13.05,1.98,0.17,L99,D,166,2.44,117.93,1.18,8,0.98,789,8.63,0.21,2024-01-31,165.88,0.475
110,ITM10110,Electronics,167.0,99,,5.0,25.36,1.5,0.38,L100,D,69,3.69,121.04,1.91,6,0.95,343,1.19,0.21,2024-11-12,82.44,0.337
111,ITM10111,Groceries,179.0,62,13.0,,40.66,6.99,0.56,L8,C,177,3.15,23.12,1.13,6,0.79,56,2.4,0.89,2024-11-22,54.65,0.535
112,ITM10112,Automotive,389.0,80,3.0,2.0,24.06,6.26,0.63,L30,A,153,4.03,168.99,1.4,3,0.97,591,11.88,0.31,2024-12-07,157.94,0.614
113,ITM10113,Groceries,33.0,10,,8.0,47.5,3.91,0.16,L5,D,170,0.55,101.09,1.65,6,0.71,264,7.09,0.47,2024-11-11,,0.446
114,ITM10114,Electronics,197.0,67,12.0,7.0,42.53,1.05,0.69,L41,B,98,3.6,197.96,1.62,9,0.86,676,14.97,0.42,2024-09-04,233.91,0.514
115,ITM10115,Automotive,431.0,99,13.0,,17.32,6.58,0.54,L52,D,25,1.94,146.31,0.24,4,0.98,264,10.74,0.43,2024-12-03,15.07,0.721
116,ITM10116,Apparel,385.0,96,11.0,3.0,20.6,5.92,0.58,L35,C,167,1.51,198.59,1.51,9,0.96,213,14.29,0.46,,162.62,0.544
117,ITM10117,Groceries,72.0,99,10.0,2.0,21.74,1.57,0.85,L9,C,107,4.11,96.16,1.9,4,0.81,219,4.91,0.47,2024-01-09,87.45,0.451
118,ITM10118,Electronics,427.0,15,5.0,4.0,31.68,9.13,0.41,L28,C,113,0.9,36.75,1.43,0,0.75,270,3.47,0.7,2024-01-04,297.56,0.593
119,ITM10119,Apparel,,79,5.0,9.0,15.05,2.39,0.26,L73,,53,1.53,148.19,1.69,1,0.76,309,6.27,0.7,2024-09-29,55.51,0.587
120,ITM10120,Apparel,41.0,53,3.0,6.0,48.49,7.56,0.6,L92,A,175,1.42,157.77,1.02,8,0.85,773,4.71,0.62,2024-10-09,136.98,0.495
121,ITM10121,Pharma,49.0,81,5.0,6.0,30.83,8.91,0.95,L41,A,60,2.39,172.04,0.71,1,0.88,310,,0.89,2024-07-29,291.31,0.791
122,ITM10122,Automotive,210.0,33,14.0,8.0,20.57,6.01,0.57,L28,B,27,1.95,67.28,1.38,9,0.71,863,11.42,0.88,2024-01-07,71.8,0.552
123,ITM10123,Groceries,279.0,95,,5.0,32.61,2.85,0.85,L84,A,14,3.74,107.03,1.04,1,0.82,892,6.63,0.37,2024-01-09,244.0,0.602
124,ITM10124,Electronics,224.0,28,14.0,4.0,20.37,3.44,0.78,L64,C,177,3.65,,1.8,8,0.95,691,2.26,0.63,2024-09-28,80.48,0.406
125,ITM10125,Pharma,78.0,27,,8.0,41.07,8.91,,L51,A,15,1.96,174.3,1.95,2,0.83,666,1.37,0.83,2024-05-20,31.83,0.515
126,ITM10126,Automotive,490.0,39,3.0,7.0,28.82,3.33,0.68,L83,A,85,2.47,14.88,1.66,1,0.75,615,4.05,0.89,2024-10-01,22.4,0.596
127,ITM10127,Pharma,283.0,51,10.0,7.0,3.06,7.59,0.47,L59,D,124,1.44,137.47,1.99,6,0.99,669,11.25,0.4,2024-05-26,,0.509
128,ITM10128,Automotive,,42,3.0,,9.66,9.91,0.58,L19,A,21,3.52,124.32,0.76,8,0.78,521,4.1,0.6,2024-01-09,71.74,0.495
129,ITM10129,Automotive,31.0,83,7.0,3.0,43.38,10.0,0.56,L34,D,21,2.28,25.83,1.8,5,0.94,876,13.75,0.62,2024-09-14,94.67,0.615
130,ITM10130,Groceries,138.0,21,11.0,6.0,28.58,5.57,0.74,L18,A,82,1.1,186.73,0.73,6,0.76,850,10.12,0.76,2024-12-23,290.4,0.646
131,ITM10131,Automotive,434.0,36,9.0,4.0,47.57,8.35,0.47,L32,D,115,1.07,94.62,0.32,2,0.83,304,13.07,0.46,2024-12-11,200.64,0.76
132,ITM10132,Pharma,481.0,48,6.0,5.0,4.55,,0.19,L96,C,159,1.95,138.11,1.28,2,0.85,327,6.4,0.43,2024-08-08,151.56,0.573
133,ITM10133,Automotive,309.0,18,13.0,9.0,15.47,4.06,0.81,L72,A,58,3.86,177.73,0.96,7,0.85,608,14.77,0.76,2024-04-01,136.27,0.683
134,ITM10134,Groceries,357.0,30,11.0,2.0,10.48,2.9,0.72,L69,C,13,0.61,34.72,1.85,6,0.85,695,10.51,0.52,2024-02-24,24.08,0.509
135,ITM10135,Groceries,267.0,85,11.0,5.0,28.14,1.59,,L34,A,12,1.66,172.61,1.04,4,0.77,73,6.0,0.2,2024-02-19,253.29,0.49
136,ITM10136,Pharma,373.0,38,4.0,5.0,19.76,1.84,0.49,L96,B,153,1.23,147.62,1.86,5,0.85,482,3.98,0.95,2024-09-25,230.99,0.527
137,ITM10137,Apparel,146.0,42,12.0,,8.71,8.61,0.17,L75,B,23,4.8,169.52,0.25,8,0.84,678,13.13,0.32,2024-03-17,36.3,0.622
138,ITM10138,Apparel,94.0,71,12.0,6.0,32.49,6.09,0.21,L55,C,73,3.67,,1.68,2,0.76,800,5.45,0.32,2024-05-03,112.5,0.481
139,ITM10139,Automotive,380.0,24,13.0,4.0,27.28,8.8,0.8,L75,C,129,1.55,16.36,1.54,2,1.0,527,1.62,0.85,2024-04-08,266.77,0.598
140,ITM10140,Electronics,,11,14.0,2.0,14.46,8.0,0.16,L52,B,178,1.43,137.4,1.47,5,0.96,543,4.9,0.47,2024-11-13,78.57,0.504
141,ITM10141,Automotive,68.0,61,8.0,,24.51,6.9,0.92,L47,B,77,4.36,81.16,0.77,7,0.97,431,3.51,0.46,2024-09-26,187.26,0.516
142,ITM10142,Pharma,98.0,53,6.0,4.0,37.54,6.29,0.35,L29,D,68,1.36,86.46,1.59,4,0.91,868,5.48,0.7,2024-05-09,151.5,0.556
143,ITM10143,Pharma,460.0,63,10.0,3.0,11.06,0.96,0.91,L18,A,139,4.99,93.84,1.02,0,0.75,423,9.59,0.25,2024-06-30,247.37,0.626
144,ITM10144,Pharma,498.0,27,14.0,5.0,15.35,8.79,,L66,B,128,1.77,103.65,1.46,2,0.87,602,8.01,0.39,2024-05-16,20.46,0.573
145,ITM10145,Pharma,260.0,12,13.0,6.0,17.96,4.47,0.88,L64,C,19,0.88,135.77,1.15,7,0.95,811,10.95,0.24,2024-07-22,246.68,0.529
146,ITM10146,Pharma,368.0,16,9.0,9.0,37.59,5.82,0.29,L12,C,84,3.61,148.09,0.4,3,0.71,372,5.67,0.43,2024-02-10,49.36,0.604
147,ITM10147,Groceries,173.0,52,9.0,7.0,42.5,0.71,0.64,L97,B,99,3.24,157.6,0.22,8,0.85,138,2.68,0.9,2024-07-10,,0.604
148,ITM10148,Apparel,293.0,91,13.0,2.0,19.44,9.39,0.18,L7,C,110,5.0,137.61,0.8,5,0.82,141,3.24,0.93,2024-07-26,182.7,0.613
149,ITM10149,Pharma,115.0,47,12.0,7.0,15.53,9.08,0.28,L15,A,163,4.11,162.66,1.87,9,0.76,426,12.16,0.45,2024-08-23,85.01,0.437
150,ITM10150,Electronics,233.0,46,11.0,5.0,44.58,5.66,0.38,L20,D,141,2.43,33.21,1.11,3,0.81,130,2.37,0.35,2024-10-16,,0.493
151,ITM10151,Electronics,313.0,67,7.0,4.0,49.97,5.98,0.77,L81,A,37,3.54,,1.62,3,1.0,691,12.17,0.31,2024-05-04,146.24,0.602
152,ITM10152,Electronics,228.0,42,8.0,7.0,33.85,7.2,0.12,L21,,139,4.18,83.58,1.19,9,0.92,652,3.98,0.52,2024-12-22,185.6,0.442
153,ITM10153,Electronics,362.0,68,3.0,,49.51,3.01,0.91,L88,D,75,2.81,110.47,1.92,4,0.79,149,10.5,0.86,2024-04-25,210.01,0.598
154,ITM10154,Groceries,107.0,20,8.0,4.0,33.34,2.61,0.16,L55,B,153,1.73,92.42,0.8,6,0.88,639,9.72,0.88,2024-06-02,278.81,0.682
155,ITM10155,Electronics,325.0,77,4.0,5.0,36.94,6.9,0.44,L77,C,133,1.45,100.39,0.21,6,0.77,604,2.38,0.24,2024-12-16,248.7,0.493
